employee_id,age,gender,education_level,department,job_title,location,years_experience,years_at_company,performance_score,num_projects,training_hours,certifications,team_size,salary
EMP0001,53,Female,Bachelor's,Marketing,Senior,Seattle,10,2,2.3,14,16.0,1.0,19,104569.02
EMP0002,57,Female,Bachelor's,Product,Lead,New York,3,1,3.9,19,11.0,6.0,47,158272.36
EMP0003,58,Male,PhD,Operations,Lead,Remote,9,0,3.2,13,115.0,5.0,32,147536.69
EMP0004,35,Female,Bachelor's,HR,Junior,Seattle,7,4,3.5,14,113.0,6.0,15,65086.93
EMP0005,48,Female,Bachelor's,Engineering,Junior,New York,6,0,3.4,3,17.0,5.0,11,102382.99
EMP0006,40,Male,Master's,Engineering,Mid-Level,Remote,4,1,2.7,4,110.0,6.0,23,90600.98
EMP0007,52,Female,Bachelor's,Engineering,Mid-Level,Austin,8,0,2.6,14,118.0,3.0,5,97280.81
EMP0008,30,Male,Master's,Data Science,Mid-Level,New York,6,0,2.9,14,91.0,5.0,22,142724.34
EMP0009,59,Female,High School,HR,Senior,Seattle,9,0,3.5,8,59.0,2.0,42,97768.69
EMP0010,38,Male,Bachelor's,Operations,Junior,San Francisco,12,6,3.1,10,66.0,4.0,18,84511.61
EMP0011,40,Female,High School,Engineering,Junior,Boston,9,3,2.0,9,114.0,4.0,7,75324.71
EMP0012,25,Male,High School,Product,Mid-Level,Boston,7,2,2.5,14,14.0,4.0,33,88070.85
EMP0013,32,Female,PhD,Data Science,Senior,Remote,5,0,3.0,8,15.0,5.0,3,152936.91
EMP0014,43,Male,Bachelor's,Engineering,Junior,Austin,13,2,3.2,11,21.0,6.0,28,96892.19
EMP0015,25,Female,Bachelor's,Engineering,Senior,Chicago,3,2,3.6,10,,4.0,1,101549.56
EMP0016,38,Female,Bachelor's,Engineering,Mid-Level,Boston,0,1,3.2,18,112.0,1.0,49,80011.36
EMP0017,29,Male,Bachelor's,Sales,Manager,New York,2,0,2.9,4,94.0,2.0,47,115569.49
EMP0018,55,Female,Master's,Finance,Manager,Austin,13,10,2.9,4,62.0,4.0,37,195068.78
EMP0019,32,Male,High School,Marketing,Mid-Level,Austin,10,1,3.3,12,30.0,0.0,22,68312.56
EMP0020,52,Female,Master's,Sales,Mid-Level,New York,14,7,3.5,18,0.0,5.0,48,134614.58
EMP0021,32,Male,PhD,HR,Mid-Level,Chicago,1,0,3.0,8,74.0,2.0,44,74481.87
EMP0022,59,Female,Bachelor's,Engineering,Mid-Level,Remote,19,0,2.4,3,5.0,1.0,19,100989.67
EMP0023,42,Female,PhD,Sales,Senior,Remote,6,0,3.1,18,86.0,4.0,14,119418.24
EMP0024,51,Male,High School,Sales,Manager,New York,0,1,2.7,7,8.0,1.0,3,90087.68
EMP0025,31,Male,Bachelor's,Marketing,Senior,New York,13,1,3.4,1,51.0,,19,127681.6
EMP0026,47,Male,Bachelor's,Data Science,Manager,San Francisco,1,2,4.2,13,,4.0,33,169248.99
EMP0027,48,Female,Master's,Engineering,Mid-Level,Remote,6,5,2.3,3,61.0,0.0,21,93617.39
EMP0028,29,Male,PhD,Finance,Junior,New York,6,3,4.0,3,57.0,2.0,1,129220.18
EMP0029,60,Female,Bachelor's,HR,Lead,Seattle,10,3,3.5,15,101.0,6.0,26,124877.34
EMP0030,29,Female,Master's,Engineering,Mid-Level,New York,4,3,4.0,19,107.0,0.0,10,133433.46
EMP0031,29,Male,Bachelor's,HR,Senior,Seattle,11,3,2.9,4,18.0,4.0,35,111181.92
EMP0032,55,Female,Bachelor's,Engineering,Mid-Level,San Francisco,11,1,2.2,13,108.0,3.0,13,139357.12
EMP0033,37,Male,Bachelor's,Engineering,Junior,Boston,8,3,3.3,13,12.0,7.0,6,96455.74
EMP0034,34,Male,PhD,Product,Director,San Francisco,14,6,4.2,15,31.0,2.0,43,400935.67
EMP0035,44,Female,Master's,Product,Junior,Seattle,7,1,2.5,19,99.0,1.0,6,100294.44
EMP0036,33,Male,Bachelor's,Data Science,Director,San Francisco,6,7,2.6,16,8.0,4.0,35,216036.11
EMP0037,48,Male,Bachelor's,Sales,Director,Seattle,17,0,3.6,7,109.0,0.0,16,218684.73
EMP0038,43,Female,Bachelor's,Engineering,Lead,Remote,9,1,2.8,3,109.0,5.0,41,134977.33
EMP0039,53,Male,Bachelor's,Operations,Senior,New York,3,0,4.4,2,48.0,6.0,8,101712.79
EMP0040,48,Non-binary,Bachelor's,Marketing,Senior,Remote,3,0,3.7,18,36.0,3.0,3,74524.68
EMP0041,23,Non-binary,Master's,Engineering,Manager,Austin,5,5,2.7,11,30.0,6.0,5,156958.51
EMP0042,54,Male,Bachelor's,Finance,Mid-Level,New York,0,1,2.8,1,30.0,5.0,21,79046.63
EMP0043,47,Male,Bachelor's,Engineering,Senior,Chicago,4,4,2.8,16,58.0,4.0,31,97281.41
EMP0044,49,Female,Bachelor's,Data Science,Senior,New York,7,8,3.2,17,54.0,7.0,14,147379.72
EMP0045,40,Male,Master's,Sales,Mid-Level,Seattle,7,0,3.4,16,18.0,1.0,37,114868.64
EMP0046,26,Male,Master's,Operations,Mid-Level,Boston,1,0,3.4,10,62.0,0.0,19,79118.21
EMP0047,54,Female,High School,Sales,Mid-Level,New York,5,2,2.4,17,1.0,2.0,37,73611.13
EMP0048,41,Male,Master's,Finance,Senior,Austin,13,5,3.8,3,44.0,3.0,20,168858.56
EMP0049,51,Female,Bachelor's,Finance,Manager,Boston,12,0,3.0,18,95.0,,2,167853.8
EMP0050,29,Male,High School,Engineering,Mid-Level,Remote,8,9,2.6,19,42.0,4.0,7,83636.61
EMP0051,59,Male,Bachelor's,Product,Manager,Austin,7,2,2.9,14,97.0,4.0,33,148048.34
EMP0052,38,Male,Bachelor's,Data Science,Senior,Remote,7,8,3.9,2,0.0,4.0,42,112992.67
EMP0053,22,Non-binary,Bachelor's,Product,Manager,Austin,4,1,3.3,12,,0.0,6,125008.19
EMP0054,24,Female,PhD,Data Science,Senior,Chicago,6,1,3.4,11,60.0,2.0,7,153871.65
EMP0055,47,Female,Master's,HR,Lead,Remote,9,4,2.4,17,2.0,1.0,44,94223.13
EMP0056,52,Male,Master's,Product,Junior,Austin,10,4,3.3,6,90.0,3.0,18,97964.87
EMP0057,29,Male,Bachelor's,Engineering,Lead,Chicago,1,0,3.9,19,43.0,6.0,43,103854.16
EMP0058,29,Male,Bachelor's,Engineering,Junior,Austin,6,7,1.9,13,6.0,7.0,29,68052.23
EMP0059,56,Male,Master's,Engineering,Manager,Remote,8,6,2.9,7,32.0,4.0,19,161895.9
